,day,weather,temperature,feels_like,precipitation,storm,freeze,humidity
0,2023-11-22,sunny,22.0,23.0,0,0.0,0.0,65
1,2023-11-23,partly_sunny,21.8,21.5,0,0.0,0.0,66
2,2023-11-24,partly_sunny,20.0,13.5,9,0.0,0.0,68
3,2023-11-25,mostly_sunny,21.0,15.8,6,0.0,0.0,67
4,2023-11-26,mostly_sunny,21.5,19.2,3,0.0,0.0,72
5,2023-11-27,partly_sunny,21.2,19.0,2,0.0,0.0,73
6,2023-11-28,partly_sunny,21.5,16.8,0,0.0,0.0,59
7,2023-11-29,partly_sunny,20.0,14.8,11,0.0,0.0,65
8,2023-11-30,overcast,18.0,12.0,50,0.0,0.0,74
9,2023-12-01,cloudy,18.2,13.2,64,0.0,0.0,76
10,2023-12-02,cloudy,19.2,15.0,63,0.0,0.0,78
11,2023-12-03,overcast,19.2,14.8,80,0.0,0.0,80
12,2023-12-04,psbl_rain,19.8,15.8,59,0.0,0.0,78
13,2023-12-05,overcast,19.8,16.0,68,0.0,0.0,78
14,2023-12-06,rain_shower,18.8,15.5,82,0.0,0.0,75
15,2023-12-07,psbl_rain,18.8,15.0,71,0.0,0.0,74
16,2023-12-08,psbl_rain,18.8,14.8,67,0.0,0.0,78
17,2023-12-09,rain,18.2,14.0,77,0.0,0.0,81
18,2023-12-10,rain,17.8,12.8,92,0.0,0.0,80
19,2023-12-11,light_rain,17.2,10.8,86,0.0,0.0,76
20,2023-12-12,light_rain,17.5,12.2,82,0.0,0.0,77
